Reference Number ,subtitle,photo_url,question,answer,optionA,optionB,optionC
1119,,,You are conducting sUAS operation northeast craft announces that it is departing runway 36 utilizing a right traffic pattern. Will the aircraft potentially conflict with your operation?,C,"No, the aircraft will be flying on the west side of the airport. ","No, the aircraft  will be flying to the south of the airport. ","Yes, the aircraft my overfly northeast of the airport. "
1120,,,"While operating a sUAS just south of a controlled airport with authorization, ATC notifies you to stay clear of the runway 6 final approach course. What action should you take to comply with this request? ",A,Stay clear of areas to the west and north of your area of operation. ,Stay clear of areas to the east and north of your area of operation. ,Stay clear of areas to the west and south of your area of operation. 
1121,,,"When turning onto a taxiway from another taxiway, what is the purpose of the taxiway direction sign?",C,Indicates direction to take-off runway. ,Indicates designation and direction of exit taxiway from runway.,Indicates designation and direction of taxiway leading out of an intersection. 
1122,,,"When approaching holding lines from the side with the continous lines, the pilot",B,may continue taxiing. ,should not cross the line without ATC clearance. ,should continue taxiing until all parts of the aircraft have crossed the lines.
1123,,,What is the purpose of the runway/runway hold position sign?,C,Denotes entrance to runway from a taxiway. ,Denotes area protected for an aircraft approaching or departing a runway.,Denotes intersecting runways.
1124,,,What is the purpose for the runway hold position markings on the taxiway?,A,Holds aircrft short of the runway.,Allows an aircraft permission onto the runway. ,Identifies area wher aircraft are prohibited.
1125,,,Holding position signs have,B,red inscriptions on white background. ,white inscriptions on red background,yellow inscriptions on red background. 
1126,,,What is the purpose of the No Entry sign?,A,Identifies a paved area where aircraft  are prohibited from entering. ,Identifies area that does not continue beyond intersection. ,Identifies the exit boundary for the runway protected area.
1127,,,"The ""taxiway ending"" marker ",A,indicates taxiway does not continue.,identifies area where aircraft are prohibited. ,provides general taxiing direction to named taxiway. 
1128,,,Which publication contains an explanation of airport signs and markings?,A,Aeronautical Information Manual (AIM),Advisory Circulars (AC).,Char Supplement U.S. 
1129,,,"You have received authorization to operatie an sUAS at an airport. When flying the sUAS, the ATC tower instructs you to stay clear of all runways. Which situation would indicate that you are complying with this request?",C,You are on the double dashed yellow line side of markings near the runway. ,You are over dashed white lines in the center of the pavement. ,You are on the double solid yellow line side of markings near the runway. 
1130,,,Most midair collision accidents occur during,B,hazy days.,clear days. ,cloudy days.
1131,,,Which technique should a remote pilot use to scan for traffic?,C,Continuously scan the sky from right to left. ,Concentrate on relative movement detected in the peripheral vision area. ,Systematically focus on different segments of the sky for short intervals. 
1132,,,"Guy wires, which support antenna towers, can extend horizontally; therefore, the towers should be avoided horizontally by at least",A,"2,000 feet horizontally",300 feet horizontally. ,"1,000 feet horizontally. "
1133,,,What should remote pilots rely on for wire strike avoidance?,C,Sectional Chart markings ,Chart Supplement U.S. airport and airspace details. ,Visual scanning. 
1134,,,What should a remote pilot do if the sUAS they are operating collides with a bird or wildlife?,C,Report the collision to ATC.,File an accident report with the NTSB.,File a wildlife strike report with the FAA. 
1303,,,What is the most effective way for a UA pilot to scan for traffic?,B,Maintain your focus on the UA and use your peripheral vision to scan small segments of the sky. ,A series of short regulary spaced eye movements scanning 10 segments of the sky. ,Continuously scan the sky from right to left.
1312,,,A larger UAS is converging head-on; what should you do?,C,The smaller aircraft should adjust course to the right. ,The larger aircraft should adjust course to the right. ,Both aircraft should adjust course to the right. 
1135,,,Which of the following considerations is most relevant  to a remote PIC when evaluating unmanned aircraft performance?,A,Current weather conditions.,The number of available ground crew. ,The type of sUAS operation. 
1136,,,"Every physical process of weather is accompanied by, or is the result of, a ",C,movement of air. ,pressure differential. ,heat exchange. 
1137,,,What causes variations in altimeter settings between weather reporting points?,A,Unequal heating of the Earth's surface.,Variation of terrain elevation.,Coriolis force. 
1138,,,The development of thermals depends upon ,C,a counterclockwise circulation of air. ,temperature inverstions.,solar heating. 
1139,(Refer to Figure 20.),https://i.imgur.com/d7YF7CJ.jpg,Over which area should a Remot Pilot expect to find the highest amount of thermal currents under normal conditions?,A,2,7,5
1272,,,"Clouds, fog, or dew will always form when ",A,water vapor condenses. ,water vapor is present. ,relative humidity reaches 100 percent. 
1140,,,"While operating around buidlings, the remote PIC should be aware of the creation of wind gusts that ",A,change rapidly in direction and speed causing turbulance.,anhance stability and imagery.,increase performance of the aircraft.
1141,,,A strong steady wind exists out of the north. You need to photograph an area to the south of your location. You are located in an open field  with no obsructions. Which of the following is not a concern during this operation?,B,Strong wind conditions may consume more battery power at a faster rate than in calm conditions. ,Turbulent conditions will likely be a significant factor during the operation.,Strong wind may exceed the performance of the sUAS making it impossible to recover. 
1278,,,Wind shear can exist,A,at all altitudes.,at low altitudes. ,at high altitudes. 
1142,,,One of the most easily recognized discontinuities across a front is ,A,a change in temerature. ,an increase in cloud coverage. ,an increase in relative humidity. 
1143,,,One weather phenomenon which will always occur when flying across a front is a change in the ,A,wind direction.,type of prepitation. ,stability of the air mass. 
1144,,,Which type of weather phenomenon that may concern a remote pilot is common among cold fronts?,C,Long-term periods of reduced visibility.,Long periods of steady precipitation.,Thunderstorms and heavy rain. 
1286,,,What weather provides the best flying conditions?,B,"Warm, moist air ","Cool, dry air. ",Turbulence. 
1277,,,"The zone between different temperature, humidity, and wind is called",A,A front. ,An air mass. ,Wind shear.
1145,,,A stable air mass is most likely to have which characteristic? ,C,Showery precipitation. ,Turbulent air.,Poor surface visibility. 
1146,,,"What are characteristics of a moist, unstable air mass?",A,Turbulence and showery precipiatation. ,Poor visibility and smooth air.,Haze and smoke. 
1147,,,What are characteristics of stable air?,B,Good visibility and steady precipitation. ,Poor visibility and steady precipitation. ,Poor visibility and intermittent precipitation. 
1148,,,What measurement can be used to determine the stability of the atmosphere?,B,Atmospheric pressure. ,Actual lapse rate ,Surface temperature. 
1149,,,What would decrease the stability of an air mass?,A ,Warming from below. ,Cooling from below. ,Decrease in water vapor. 
1150,,,"Upon your preflight evaluation of weather, the forecasts you reference state there is an unstable air mass approaching your location. Which would not be a concern for your impeding operation?",B,Thunderstorms ,Stratiform clouds.,Turbulent conditions.
1285,,,You have received an outlook briefing from flight serice through 1800wxbried. The briefing indicates you can expect a low-level temperature inversion with high relative humidity. What weather condition would you expect?,A,"Smooth air, poor visibility, fog, haze, or low clouds.","Light wind shear, poor visibility, base, and light rain. ","Turbulent air, poor visibility, fog, low stratus type clouds, and showery precipitation. "
1151,,,What mimimum visibility is required for sUAS operations?,B,1 miles. ,3 miles. ,4 miles.
1152,,,The minimum distane from clouds required for sUAS Part 107 operation is ,B,clear of clouds. ,"500 feet blow, 2,000 feet horizontally. ","500 feet above, 1,000 feet horizontally "
1288,(Refer to Figure 69.),https://i.imgur.com/gEFoUQi.jpg,You are inspecting the lighted towers approximately 8NM SW of the Corpus Christi Intl airport (CRP). What is the lowest cloud conver that will enable you to inspect the top of the tower.,B,"1,104 feet MSL. ","1,604 feet MSL. ","1,054 feet MSL."
1271,,,The weather report lists the ceiling at 800 feet. Wht is the highest you can operate your sUAS?,C,200 feet AGL. ,800 feet AGL.,300 feet AGL. 
1289,(Refer to Figure 23.),https://i.imgur.com/mlGifuy.jpg,What are the VFR minimum visibility requirements over Plantation Airport?,C,1SM ,5SM,3SM.
1329,"(Refer to Figure 23, Area 4)",https://i.imgur.com/mlGifuy.jpg,What is the required flight visibility for a remote pilot operating an unmanned aircraft near the Plantation Airport (JYL)?,C,5 statutue miles.,1 statute mile. ,3 statute miles 
1310,(Refer to Figure 78.),https://i.imgur.com/8I4b18I.jpg,What is the minimum base of the cloud layer to fly to the top of the towers 4NM east of Onawa (K36)?,A,792 feet AGL. ,292 feet AGL. ,"1,335 feet MSL. "
1153,,,What feature is normally associated with the cumulus stage of a thunderstorm?,B,Roll Cloud.,Continuous updraft. ,Requent lightning.
1154,,,Which weather phenomenon signals the beginning of the mature stage of a thunderstorm?,B,The appearanceof an anvil top. ,Precipitation beginning to fall. ,Maximum growth rate of the clouds.
1155,,,What conditions are necessary for the formation of thunderstorms?,A,"High Humidity, lifting force, and unstable conditions.","High humidity, high temperature, and cumulus clouds.","Lifting force, moist air and extensive coud cover. "
1156,,,"During the life cycle of a thunderstorm, which stage is characterized predominately by downdrafts?",B,Cumulus ,Dissipating ,Mature. 
1157,,,Thunderstorms reach their greatest intensity during the ,A,mature stage. ,downdraft stage.,cumulus stage.
1158,,,Thunderstorms which generally produce the most intense hazard to aircraft are ,A,squall line thunderstorms. ,steady state thunderstorms.,warm front thunderstorms. 
1159,,,"A nonfrontal, narrow band of active thunderstormsthat often develop ahead of a cold front is know as a",B,prefrontal system. ,squall line.,dryline. 
1160,,,"If there is thunderstorm activity in the vicinity of an airport at which you plan to land, which hazardous atmospheric phenomenon might be expected during recovery/landing of the sUAS?",B,Precipitation static. ,Wind-shear turbulence. ,Steady rain. 
1161,,,Which weather phenomenon is always associated with a thunderstorm?,A,Lightning. ,Heavy rain.,Hail.
1162,,,Which is considered to be the. most hazardous condition when flying an sUAS in the vicinity of thunderstorms?,B,Static electricity.,Lighting. ,Wind shear and turbulence.
1163,,,What is the expected duration of an individual microburst?,C,Two minutes with maximum winds lasting approximately 1 minute.,One microburst may continue for as long as 2 to 4 hours.,Seldom longer than 15 minutes from the time the burst strikes the ground until dissipation. 
1283,,,In what stage are thunderstorms the strongest?,A,Mature . ,Dissipating.,Cumulus
1287,,,Where are squalls most likely to form?,C,High altitude.,Low altitude.,At any altitude.
1164,,,The presence of ice pellets at the surface is evidence that there,C,are thunderstorms in the area.,has been cold frontal passage. ,is a temperature inversion with freezing rain at a higher altitude. 
1165,,,One in-flight condition necessary for structural icing to form is,C,small temperature/dewpoint spread. ,Stratiform clouds.,visible moisture. 
1166,,,In which environment is aircraft structural ice most likely to have the highest accumulation rate?,C,Cumulus clouds with below freezing temperatures. ,Freezing drizzle. ,Freezing rain. 
1298,,,What environment is most conducive to frost formation?,A,"Dewpoint of surface is below freezing, dewpoint is above freezing. ","Surface temperature is below freezing, air temperature is below freezing. ","Surface temperature is above freezing, air temperature is below freezing."
1167,,,What situation is most conducive to the formation of radiation fog?,A,"Warm, moist air over low, flatland areas on clear,calm mights.","Moist tropical air moving over cold, offshore water.",The movement of cold air over much warmer water. 
1168,,,In which situation is advection fog most likely to form?,B,"W warm, moist air mass on the windward side of mountains. ",An air mass moving inland from the coast in winter.,A light breeze blowing colder air out to sea. 
1169,,,An air mass moving inland from the coast in winter is likely to result in ,B,rain.,fog.,frost. 
1170,,,What types of fog depend upon wind in order to exist?,C,Raidiation fog and ice fog.,Steam fog and ground fog. ,Advection fog and upslope fog. 
1171,,,Low-level turbulence can  occur and icing can become hazardous in which type of fog?,C,Rain-induced fog. ,Upslope fog.,Steam fog. 
1172,,,What is the best way for a remote pilot to determine the likelihood of local fog formation?,A,Monitor the temperature/dew point spread.,Monitor the wind conditions to insure the wind speed is not increasing. ,Monitor the barometric pressure to insure that it is not decreasing.
1173,,,How would high density altitude affect the performance  of a small unmanned aircraft?,C,No change in performance. ,Increased performance. ,Decrease performance. 
1174,,,"If the outside air temperature (OAT) at a given altitude is warmer than stardard, the density altitude is ",C,equal to pressure altitude. ,lower than pressure altitude.,higher than pressure altitude.
1175,,,What are the standard temperature and pressure values for sea level?,A,"15°C and 29.92"" Hg",59°C and 1013.2 millibars.,59°F and 29.92 milibars.
1176,,,Which factor would tend to increase the density altitude at a given airport referenced in the weather briefing?,B,An increase in barometric pressure., An increase in ambient temperture.,A decrease in relative humidity.
1177,,,What effect does high density altitude have on the efficiency of a UA propellor?,B,Propellor efficienct is increased. ,Propeller efficienct is decreased.,Density altitude does not affect propeller efficiency. 
1290,,,What effect does humidity have on performace?,C,It has no effect on performace.,It increases performace. ,It decreases performance.
1178,,,"To get a complete weather overview for the planned flight, the remote pilot in command should obtain",C,An outlook brief.,An abbreviated briefing.,A standard briefing. 
1179,,,Which statement is true concerning ASOS/AWOS weather reporting systems?,B,Each AWOS station is part of a nationwide network of weather reporting stations. ,ASOS locations perform weather observing functions necessary to generate METAR reports.,"Both ASOS ans AWOS have the capability of reporting desity altitude, as long as it exceeds the airport elevation by more than 1,000 feet."
1180,(Refer to Figure 12.),,The wind direction and velocity at KJFK is from:,A ,180° true at 4 knots. ,180° magnetic at 4 knots.,040° true at 18 knots
1181,(Refer to Figure 12.),,What are the current conditions for Chicago Midway Airport (KMDW)?,A,"Sky 700 feet overcast, visibility 1-1/2 SM, rain. ","Sky 7,000 feet overcast, visibility 1-1/2SM, heavy rain. ","Sky 700 feet overcast, visibility 11, occasionally 2 sm, with rain. "
1182,(Refer to Figure 15.) ,,"In the TAF for KMEM, what does ""SHRA"" stand for?",A,Rain Showers ,A shift in wind direction is expected. ,A significican change in precipitation is possible. 
1183,(Refer to Figure 15.),,Between 1000Z and 1200Z the visibility at KMEM is forecast to be ,B,1/2 statute mile. ,3 statute miles.,6 statute miles.
1186,,,"Before each flight, the remote PIC must ensure that",C,ATC hs granted clearance. ,the site supervisor has approved the flight. ,objects carried on the sUAS are secure. 
1300,,,What purpose does a rudder perform on an sUAS airplane?,A,The rudder controls yaw. ,The rudder controls bank. ,The rudder controls pitch. 
1187,,,You are operating an sUAS that does not have GPS or an installed ground speed limiter. How can you determine the speed you are operating? ,A,Dead reckoning.,Pilotage. ,Wind triangle. 
1188,,,How can a remote pilot determine the altitude of the terrain and structures where the flight will be conducted?,A,Sectional Chart. ,Manufactures data. ,Road maps. 
1189,,,You are operating an sUAS that does not have GPS or an installed ground speed limiter. How can you determine the speed you are operating? ,A,Gaining a visual perspective of what 400 feet looks like on the ground before the flight. ,Operating a second sUAS that has an altimeter to gain a visual perspective of 400 feet from the air. ,Operating the sUAS in close proximity of a tower known to be 400 feet tall. 
1190,,,"When loading cameras or other equipment on as sUAS, mount the items in a manner that ",B,is visible to the visual observer or other crewmembers. ,does not adversely affect the center of gravity.,can be easily removed without the use of tools. 
1191,,,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions specified in the",B,Aircraft Weight and Balance Handbook.,Pilot's Operating Handbook or UAS Flight Manual. Aeronautical Information Manual (AIM),Aeronautical Information Manual (AIM).
1192,,,What could be a consequence of operating of operating a small unmanned aircraft above its maximum allowable weight?,A,Shorter endurance.,Increased maneuverability.,Faster speed. 
1193,,,"When operating an aircraft, the Remote PIC is responsible for using",A,the most current weight and balance data. ,weight and balance data from the factory ,recent weight and balance data. 
1194,,,Which of the following is true regarding weight and balace of small unmanned aircraft?,C,CG cannot change during flight. ,Lateral CG is not important to small unmanned aircraft operations. ,Operations outside weight and balance limitations may result in loss of control. 
1293,,,A UAS loaded the most rearward center of gravity is ,A,less stable at all speeds.,more stable at slow speeds. ,more stable at fast speeds. 
1195,,,"When operating an unmanned aircraft, the remote pilot-in-command should consider that the load factoron the wings or rotors may be increased anytime",A,the aircraft is subjected to maneuvers other than straight and level flight.,the CG is shifted rearward to the aft CG limit. ,the gross weight is reduced. 
1196,(Refer to Figure 2.) ,,"If an sUAS weighs  10 pounds, what approximate weight  would the sUAS structure be required to support during a 60° banked turn while maintaining altitude?",C,10.15 pounds.,30 pounds.,20 pounds.
1197,(Refer to Figure 2.) ,,"If an sUAS weighs 50 pounds, what approximate weight would the sUAS structure be required to supoport during a 30° banked turn while maintaining altitude?",A,60 Pounds ,45 pounds. ,30 pounds.
1198,(Refer to Figure 2.) ,,"If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30° banked turn while maintaining altitude?",C,34 pounds.,47 pounds.,38 pounds.
1199,,,The amount of excess load that can be imposed on the wing of an airplane depends upon the ,B,position of the CG. ,speed of the airplane.,abruptness at which the load is applied. 
1200,,,Which basic flight maneuver increases the load factor on an sUAS as compared to straight-and-level flight?,B,Climbs. ,Turns. ,Stalls. 
1201,,,"The term ""angle of attack"" is defined as the angle",A,between the wing chard line and the relative wind. ,between the airplane's climb angle and the horizon. ,formed by the longitudinal axis of the airplane and the chord line of the wing. 
1202,,,The angle of attack at which an airfoil stalls will ,B,increase if the CG is moved foward. ,remain the same regardless of gross weight. ,change with an increase in gross weight. 
1203,,,"A stall occurs when the smooth airflow over the unmanned aircraft's wing/propeller(s) is disrupted, and the lift reduces rapidly. This is caused when the wing/propeller(s)",C,exceeds maximum allowable operation weight. ,exceeds the maximum speed. ,exceepds its critical angle of attack. 
1204,,,An increase in load factor will cause an unmanned aircraft to ,A,stall at a higher airspeed. ,have a tendency to spin. ,be more difficult to control.
1314,,,"In a 45° banking turn, a UA will ",B,be more susceptible to spinning. ,stall at a higher airspeed. ,stall at a lower airspeed. 
1205,,,"According to 14 CFR Part 107, who is responsible for determining the performance of a small unmanned aircraft?",A,Remote pilot-in-command.,Manufacturer.,Owner of operator. 
1206,,,What effect does an uphill terrain slope have on launch performance?,B,Increases launch speed. ,Increases launch distance. ,Decreases launch distance. 
1207,,,"The most critical conditions of launch performance are the result of some combination of high gross weight, altitude, temperature, and ",A,unfavorable wind. ,obstacles surrounding the launch site. ,powerplant systems. 
1208,,,Maximum endurance is obtained at the point of minimum power to maintain the aircraft,A,"in steady, level flight.",in a long range descent. ,at its slowest possible indecated airspeed. 
1209,,,"When range and economy of operation are the principle goals, the remote pilot must ensurethat the sUAS will be operated at the recommended",B,specific endurance. ,long-range cruise performance. ,equivalent airspeed.
1210,,,What is the best source for sUAS performance data and information?,A,Manufacturer publications. ,Pilot reports. ,Estimates based upon similar ststems. 
1211,,,During the preflight inspection who is responsibile for determining the aircraft is safe for flight?,A,The remote pilot in command. ,The owner or operator.,The certificated mechanic who performed the annual inspection. 
1212,,,How often is the remote PIC required to inspect the sUAS to insure that it is in a condition for safe operation?,C,Annually.,Monthly. ,Before each flight. 
1213,,,How should an sUAS preflight inspection be accomplished for the first flight of the day?,B,Quick walk around with a check of gas and oil. ,Thorough and systematic means recommended by the manufacturer. ,Any sequence as determined by the pilot-in-command. 
1214,,,"During you preflight inspection, you discover that the casing of your sUAS battery has expanded beyond its normal dimensions. What action should you take?",C,Throw it away with your household trash. ,Use it as long as it will still hold a charge. ,Follow the manufacturer's guidance. 
1215,,,"While preparing your sUAS for flight, you notice that one of the propeller blades has a nick. What action should you take?",B,"If the nick is less than 1/4 the length of the blade, it is safe to operate without replacement. ","Remove and replace the propeller; consult manufacturer guidlines for repair, if any. ",Repair by filiing the nick to a smooth curve or with adhesive approved for use on the propeller material. 
1216,,,In which of the following scenarios is a remote PIC not required to perform a preflight inspection of their sUAS?,C,If the subsequent flight occurs immediately following a flight before which an inspection was made. ,"Preflight inspections are only required for the first flight of the day, so any other flight does not require such as inspection. ","Preflight inspections are required before each flight, thus there is no scenario that precludes such an inspection."
1217,,,"Inbound to an airport with no tower, FSS, or UNICOM in operation, a pilot should self-announce on MULTICOM frequency ",B,123.0. ,122.9.,122.7.
1279,,,The aircraft call sign N169US will be spoken in this way:,A,November one six noner uniform sierra. ,November one six niner unmanned system. ,November one hundred one hundred sixty nine uniform sierra. 
1218,,,"When flying HAWK N666CB, the proper phraseology for initial contract with Whitted ATC tower is",A,"""Whitted Tower, HAWK SIX SIX SIX CHARLIE BRAVO , five NM west of the airport, request permission to enter Class D airspace  for unmanned aircraft operations below four hundred AGL, three NM west of the airport"" ","""Whitted, HAWK SIX SIX SIX CEE BEE, requesting to operate within Class D, west of the field""","""Whitted tower, Triple Six Charlie Bravo, five NM west,  operating in Class D below four hundred AGL west of the airport"""
1219,,,"The correct nethod of stating 4,500 feet MSL to ATC is ",A,"""FOUR THOUSAND FIVE HUNDRED.""","""FOUR POINT FIVE.""","""FORTY-FIVE HUNDRED FEET MSL."""
1233,,,What is the best way for the remote PIC to minimize the risk of radio frequency interference during sUAS operations?,B,Never transit on aviation frequency ranges during flight operations. ,Monitor frequency use with a spectral analyzer. ,Avoid the use of cellphones in the vicinity of the control station. 
1220,"(Refer to FIgure 20, area 3.)",https://i.imgur.com/d7YF7CJ.jpg,What is the recommended communications procedure for a landing at Currituck County Airport?,A,Transmit intentions on 122.9MHz  when 10 miles out and give positions reports in the traffic pattern. ,Contact Elizabeth City FSS for airport advisory service. ,Contact New Bern FSS for area traffic information. 
1221,,,When should pilots state their position on the airport when calling the tower for takeoff?,C,When visibility is less than 1 mile. ,When parallet runways are in use. ,When departing from a runway intersection. 
1222,,,"As standard operating practice, all inbound and local traffic approaching or near an airport without a control tower should continuously monitor the appropriate facility from a distance of",C,25 miles. ,20 miles. ,10 miles.
1223,,,Absence of the sky condition and visibility on an ATIS broadcast indicates that,C,weather conditions are at or above VFR minimums ,the sky condition is clear and visibility is unrestricted.,"the ceiling is at least 5,000 feet and visibility is 5 miles or more. "
1330,"(Refer to Figure 21, Area 1.) ",https://i.imgur.com/Zx6EcdC.jpg,"After receiving authorization from ATC to operate a small UA near Minot International Airport (MOT) while the control tower is operational , which radio communication frequency could be used to monitor manned aircraft and ATC communications?",C,UNICOM 122.95,ASOS 118.725,CT-118.2
1225,"(Refer to Figure 26, Area 2.)",https://i.imgur.com/VcrUqUa.jpg,What is the recommended communication procedure when operating in the vicity of Cooperstown Airport?,A,"Broadcast intentions when 10 miles out and monitor transmission on the CTAF/MULTICOM frequency, 122.9 MHz ",Contact UNICOM when 10 miles out on 122.8 MHz.,Circle the airport in the left turn prior to entering traffic monitoring transmissions on 122.9.
1308,,,The Common Traffic Advisory Frequency (CFAT)is used for manned aircraft to ,A,announce ground and flight intentions. ,request air traffic control clearance. request fuel servies. ,request fuel services. 
1226,,,Automatic Terminal Information Service (ATIS),C,pilots of radar-identified aircraft whose aircraft is in dangerous proximity to terrain or to an obstruction. ,nonessential information to reduce frequency congenstion. ,noncontrol information in selcted high-activity terminal areas. 
1227,,,What services will a FSS provide?,B,Fuel pricing. ,Assistance during an emergency. ,Clearance to taxi for takeoff. 
1230,,,"An ATC fadar facility issues the following advisory to a pilot flying on a heading of 090° :""UNMANNED AIRCRAFT OPERATIONS 3 O'CLOCK, 2 MILES, WESTBOUND..."" Where should the Remote PIC (also visual observer and crew, if applicable) look for this traffic in reference to the UA?",A,North. ,South. ,West.
1231,,,"An ATC radar facility issues the following advisory to a manned aircraft pilot flying north in a calm wind: ""UNMANNED AIRCRAFT OPERATIONS AT 9 O'CLOCK, 2 MILES..."" Where should the Remote PIC (also visual observer and crew. if applicable) look for this traffic?",A,East.,North. ,West. 
1232,,,A visual observer notices a manned aircraft approaching the area in which sUAS operations are east. What call could the remote PIC/visual observer make on CTAF to alert the manned pilot?,A,"Zephyrhills traffic, unmanned aircraft Xray Yankee Zulu, operating five NM south of the airport at or below 400 AGL, located at the three o'clock position of the Cessna just north of our position,  Zephyrhills traffic. ","Zephyrhills traffic, unmanned aircraft at three o'clock of manned aircraft in the area, Zephyrhills traffic. ","Zephyrhills traffic, unmanned aircraft Xray Yankee Zulu to Cessna in the area, look for us at your three o'clock position, we are about a mile south. "
1234,,,Damaged lithium batteries can cause ,A,an inflight fire. ,a change in aircraft center of gravity.,increased endurance. 
1334,,,What precautions should a remote PIC take to prevent possible inflight emergencies when using lithium-based batteries?,B,Store the batteries in a freezer to allow proper recharging. ,Follow the manufacturer's recommendations for safe battery handling. ,Allow the battery to charge until it reaches a minimum temperature of 100°C. 
1335,,,A remote pilot-in-command and a visual observer defining their roles and responsibilites prior to and during the operation of a small UA is a good use of,A,Crew resource management. ,Authoritarian resource management. ,Single pilot resource management.
1235,,,Which of the following lithium batteries should not be used?,C,A partially discharged battery that is warm from recent prior use. ,"A new battery that has only been charged one, several charging cycles are required prior to normal use. ",A battery with a bulge on one of the sides of its case. 
1236,,,What is the proper response by the remote PIC if experiencing a lost link situation?,A,Notify all available crew and ATC (if applicable) while executing the briefed lost link procedure. ,Wait for the unit to reestablish link while notifying local law enforement of possible dangers to nonparticipants. ,Turning the control station off and then back on to attempt the reestablishment of the link. 
1237,,,Which of the following events is considered a flyaway?,C,Loss of link between the remote PIC and the unmanned aircraft. ,Loss of communication link between the Remote PIC and ATC.,Unmanned aircraft does not respond to control inputs and does not execute known lost link maneuvers. 
1238,,,What action should be taken by the remote PIC during a sUAS flyaway event?,B,Immediately notify the NTBS. ,"Immediately notify any/all crewmembers, bystanders, and ATC (if applicable).","Immediatly notify any/all crewmembers, local law enforcement personnel, and bystanders. "
1239,,,A common cause of sUAS flyaway events is ,A,frequency interference.,loss of GPS signals.,persons standing close to the control station antenna. 
1241,,,What action should the remote PIC take upon GPS signal loss?,B,Perform the planned flyaway emergency procedure. ,Follow normal sUAS operational procedures noting any mode or control changes that normally occur if GPS is lost. ,Land the unmanned aircraft immediately prior to loss of control. 
1242,,,"The effective use of all available resources human, hardware, and information-prior to and during flight to ensure the successful outcome of the operation is called",B,risk management. ,crew resource management. ,safely management system. 
1243,,,"When adapting crew resource management (CRM) concepts to the operation of a small unmanned aircraft, CRM must be integrated info. ",C,the communications only. ,the flight portion only. ,all phases of the operation. 
1244,,,"Safely is an important element for a remote pilot to consider prior to operating an unmanned aircraft system. To prevent the final ""link"" in the accident chain, a remote pilot must consider which methodolgy? ",C,Crew resource management. ,Safety management system. ,Risk management. 
1245,,,A local TV station has hired a remote pilot to operate their small UA to cover breaking news stories. The remote pilot has had multiple near misses with obstacles on the ground and two small UAS accidents.What would be a solution for the news station to improve their operating safely culture?,C,The new station should implement a policy of no more than five crashes/incidents within 6 months. ,The news station does not need to make any changes; there are times that an accident is unavoidable.,The news stations should recognize harardous attitudes and situations and develope standard operating procedures that emphasize safety. 
1246,,,Identify the hazardous attitude or characteristic a remote in command displays while taking risks in order to impress others?,C,Impulsivity,Invulnerability. ,Machoism. 
1247,,,"You have been hired as a remote pilot in command by a local TV news station to film breaking news with a small unmanned aircraft. You expressed a safety concern and the station manager has  instructed you to ""fly first, ask question later."" What type of hazardous attitude does this attitude represent?",B,Invulneratbility. ,Impulsivity.,Machoism. 
1248,,,"What antidotal phrase can help reverse the hazardous attitude of ""antiauthority""?",C,Rules do not apply in this situation. ,I know what I am doing. ,Follow the rules. 
1249,,,Hazardous attitudes occur to every pilot to some degree at some time. What are some of these hazardous attitudes?,B,Poor risk management and lack of stress management. ,"Antiauthority, impulsivity, macho, resignation, and invulnerability. ","Poor situational awareness, snap judgments, and lack of a decision making process. "
1250,,,"Risk management, as part of the aeronautical desicion making (ADM) process, relies on which features to reduce the risks associated with each flight?",B,Application of stress management and risk element procedures. ,"Situational awareness, problem recognition, and good judgement. ",The mental process of analyzing all information in a particular situation an  making a timely decision on what action to take. 
1251,,,"To avoid missing imporatant steps, always use the ",A,appropriate checklists. ,placarded airspeeds. ,airworthiness certificate. 
1252,,,An exreme case of a pilot getting behind the aircraft can lead to the operation pitfall of ,A,loss of situational awareness. ,loss of workload. ,internal stress.
1253,,,Which statement is not correct concerning crew resource management in sUAS operations?,A,"Crewmembers cannot, under any circumstances, challenge the decision of the remote PIC ",Individuals who are exhibiting signs of hazadous attitudes should be approached about the issue. ,The remote PIC and all crewmembers should communicate any observed hazards or concerns to one another. 
1284,,,A remote pilot-in-command and a visual observer define their roles and responsibilities prior to and during the operation of a small UA. This is a good use of ,A,crew resource management. ,Authoritarian resource management. ,Single pilot resource management.
1291,,,What antidotal phrase can help reverse the hazardous attitude of impulsivity?,C,It could happen to me. ,Do it quickly to get it over with. ,"Not so fast, think first. "
1299,,,What is the best way to mitigate risk?,C,SMS plan.,Weekly meetings. ,Establishing an operational procedure guideline. 
1315,,,The accurate perception and understanding of all the risk element factors and conditions is ,A,situational awareness. ,judgement. ,aeronautical decision making. 
1337,,,Aernautical decision making (ADM) can be described as the pilot's ability for ,A,sound judgement and good decision making.,making quick decisive actions.,interpreting dangerous situations. 
1254,,,"Who is responsible for determining whether a pilot is fit to fly for a particular flight, even though he or she holds a current medical certificate?",C,The FAA,The medical examiner.,The pilot. 
